
-1,000000
-0,988616
-0,977200
-0,965752
-0,954271
-0,942758
-0,931212
-0,919635
-0,908025
-0,896383
-0,884708
-0,873001
-0,861262
-0,849490
-0,837687
-0,825850
-0,813982
-0,802081
-0,790148
-0,778183
-0,766185
-0,754155
-0,742093
-0,729999
-0,717872
-0,705713
-0,693521
-0,681297
-0,669041
-0,656753
-0,644432
-0,632079
-0,619694
-0,607276
-0,594826
-0,582344
-0,569829
-0,557283
-0,544703
-0,532092
-0,519448
-0,506772
-0,494064
-0,481323
-0,468550
-0,455745
-0,442907
-0,430037
-0,417135
-0,404201
-0,391234
-0,378235
-0,365203
-0,352140
-0,339044
-0,325915
-0,312754
-0,299562
-0,286336
-0,273079
-0,259789
-0,246467
-0,233112
-0,219725
-0,206306
-0,192855
-0,179371
-0,165855
-0,152307
-0,138726
-0,125113
-0,111468
-0,097790
-0,084081
-0,070338
-0,056564
-0,042757
-0,028918
-0,015047
-0,001143
0,012793
0,026761
0,040762
0,054795
0,068860
0,082958
0,097087
0,111250
0,125444
0,139671
0,153930
0,168221
0,182545
0,196901
0,211289
0,225710
0,240163
0,254648
0,269165
0,283715
0,298297
0,312912
0,327558
0,342238
0,356949
0,371692
0,386468
0,401277
0,416117
0,430990
0,445895
0,460833
0,475803
0,490805
0,505839
0,520906
0,536005
0,551136
0,566300
0,581496
0,596724
0,611985
0,627277
0,642603
0,657960
0,673350
0,688772
0,704226
0,719713
0,735232
0,750783
0,766367
0,781983
0,797631
0,813311
0,829024
0,844769
0,860547
0,876357
0,892199
0,908073
0,923980
0,939919
0,955890
0,971894
0,987929
1,003998
1,020098
1,036231
1,052396
1,068593
1,084823
1,101085
1,117380
1,133706
1,150065
1,166456
1,182880
1,199336
1,215824
1,232344
1,248897
1,265482
1,282100
1,298749
1,315431
1,332146
1,348892
1,365671
1,382483
1,399326
1,416202
1,433110
1,450051
1,467023
1,484028
1,501066
1,518135
1,535237
1,552372
1,569538
1,586737
1,603968
1,621232
1,638528
1,655856
1,673216
1,690609
1,708034
1,725492
1,742981
1,760503
1,778057
1,795644
1,813263
1,830914
1,848598
1,866313
1,884061
1,901842
1,919655
1,937500
1,955377
1,973287
1,991229
2,009203
2,027209
2,045248
2,063319
2,081423
2,099559
2,117727
2,135927
2,154160
2,172425
2,190722
2,209052
2,227414
2,245808
2,264234
2,282693
2,301184
2,319708
2,338264
2,356852
2,375472
2,394125
2,412810
2,431527
2,450277
2,469058
2,487873
2,506719
2,525598
2,544509
2,563453
2,582428
2,601436
2,620477
2,639549
2,658654
2,677792
2,696961
2,716163
2,735397
2,754664
2,773963
2,793294
2,812657
2,832053
2,851481
2,870941
2,890434
2,909959
2,929516
2,949105
2,968727
2,988381
3,008068
3,027787
3,047538
3,067321
3,087137
3,106985
3,126865
3,146778
3,166723
3,186700
3,206709
3,226751
3,246825
3,266932
3,287071
3,307242
3,327445
3,347681
3,367949
3,388249
3,408582
3,428946
3,449344
3,469773
3,490235
3,510729
3,531255
3,551814
3,572405
3,593029
3,613684
3,634372
3,655092
3,675845
3,696630
3,717447
3,738297
3,759178
3,780092
3,801039
3,822018
3,843029
3,864072
3,885148
3,906255
3,927396
3,948568
3,969773
3,991010
4,012280
4,033581
4,054916
4,076282
4,097681
4,119112
4,140575
4,162070
4,183598
4,205159
4,226751
4,248376
4,270033
4,291723
4,313444
4,335198
4,356985
4,378803
4,400654
4,422538
4,444453
4,466401
4,488381
4,510394
4,532439
4,554516
4,576625
4,598767
4,620941
